Código,Descripción,Definición,Auxiliar,Denominación
44121711,Rotuladores,,,
44121714,Asideras para lápices o,,,
44121715,Combinaciones de esfero y,,,
44121716,Resaltadores Es un tipo de marcador de tinta fluorescente que se utiliza para señalar las partes,,,
44121802,"Fluido de corrección Es un fluido blanco y opaco, que se aplica en el papel para tapar errores en el",,,
44121804,Borradores Es un instrumento de mano cuya finalidad es eliminar trazos erróneos,,,
44121805,Esferos de corrección,,,
44121808,Borradores eléctricos,,,
44121902,Repuestos de minas Es una tinta de invención china usada principalmente en caligrafía china y,,,
44122101,Cauchos Es una banda de caucho elástica.,,,
44122103,Sujetadores de cierre Elementos que se utilizan para cerrar algo.,,,
44122110,Monturas adhesivas Elementos de sujeción que cuenta con una parte posterior con pegamento para,,,
44122113,Sujetadores de etiquetas Elementos que cuentan con una cinta que puede unirse y un elemento para,,,
44122115,Esquinas adhesivas,,,
45101515,Impresora básica,,,
45111504,Componentes de luz o,,,
45111601,Señaladores,,,
45121518,Kits de cámaras Conjunto de accesorios que se le puede adquirir a una cámara con la finalidad de,,,
45121614,"Kits de reacondicionamiento kits para modernizar o ampliar con piezas nuevas o modificadas, dispositivos,",,,
46171603,Temporizadores de reloj,,,
46171604,Sistemas de alarma,,,
46181501,Delantales protectores,,,
46191601,Extintores,,,
46191602,Sistemas de rociado para,,,
47101505,Equipo de manejo de cloro,,,
47101532,Tanques de asentamiento,,,
47121603,Brilladoras de pisos Dispositivo que se utiliza para abrillantar o pulir los diferentes tipos de pisos.,,2.6.1.4,.01-Electrodomésticos 2.6.5.7.01 Máquinas-
48101614,Sets o bolsas para hielo para,,,
48101711,Dispensadores de agua,,,
48101714,Dispensadores de agua,,,
48101802,"Moldes para uso comercial Es una pieza, o un conjunto de piezas acopladas, interiormente huecas pero con",,,
49101602,Recuerdos (souvenirs),,,
49101704,Placas,,,
49121503,"Carpas Es una pequeña casa portátil de origen Árabe, que está destinada a ser colocada",,,
49121505,Cajas de hielo Es una caja aislada se utiliza para mantener los alimentos o la bebida fría. Se,,,
50101538,Verduras frescas Son hortalizas cuyo color predominante es el verde.,,2.3.1.1,.01-Alimentos y
50101539,Verduras congeladas,,,
50101540,Verduras estables sin,,,
50101541,"Setas u hongos Son los esporocarpos, o cuerpos fructíferos, de un conjunto",,,
50101542,Harina vegetal Es el polvo fino que se obtiene del cereal molido y de otros alimentos ricos,,,
50101543,"Judías secas Son legumbres con muchas propiedades y son conocidas, por todo el mundo, con",,,
50101544,Judías en conserva o en lata Son frijoles que son capaces de ser almacenados a temperatura ambiente durante,,,
50101545,Verduras deshidratadas Cualquier vegetal que ha sido deshidratado o secado con el fin de extender la vida,,,
50101634,Fruta fresca,,,
50101635,Fruta congelada,,,
50101636,Fruta estable sin refrigerar En materia de alimentación frutas conservados son frutas que son capaces de ser,,,
50101716,Nueces y semillas enteras,,,
50101717,Nueces y semillas sin cascara,,,
50171548,Hierbas frescas,,,
50171549,Hierbas secas Hierbas preservadas por medio de exponer las hojas a aire caliente,,2.3.1.1,.01-Alimentos y
50171550,"Especies o extractos Es el nombre dado a ciertosaromas de origen vegetal, que se usan para preservar",,,
50171903,Aceitunas Fruto del olivo. Se conoce también como oliva.,,2.3.1.1,.01-Alimentos y
50192501,Emparedados frescos,,,
50192801,Pasteles de sal frescos,,,
50221001,Granos,,,
50221002,Harina Es un producto molido de legumbres estándar intensamente limpios y pelados.,,2.3.1.3,.03-Productos
50221101,"Grano de cereal Gramíneas, herbáceas cuyos granos o semillas están en la base de",,,
52161520,Micrófonos,,,
